Palavra-chave da rede de pesquisa,Tipo de corresp.,Status do critério,Status da campanha,Status do grupo de anúncios,Custo,Cliques,CTR
passeios Pantanal MS,Corresp. de frase,Removido,Ativado,Ativado,"R$ 187,09",85,"6,15%"
pantanal passeios,Corresp. de frase,Ativado,Ativado,Ativado,"R$ 120,37",83,"6,69%"
passeios pantanal,Corresp. de frase,Ativado,Ativado,Ativado,"R$ 89,26",56,"8,47%"
passeios pantanal ms,Corresp. de frase,Ativado,Ativado,Ativado,"R$ 76,95",46,"6,40%"
passeios em bonito ms,Corresp. de frase,Ativado,Ativado,Ativado,"R$ 71,62",36,"5,94%"
turismo em Aquidauana,Corresp. de frase,Removido,Ativado,Ativado,"R$ 58,13",30,"8,96%"
coisas legais para fazer em aquidauana,Corresp. de frase,Ativado,Ativado,Ativado,"R$ 53,88",40,"13,11%"
lugares para visitar no pantanal,Corresp. de frase,Ativado,Ativado,Ativado,"R$ 39,17",19,"5,19%"
balonismo aquidauana,Corresp. de frase,Ativado,Ativado,Ativado,"R$ 34,41",37,"20,44%"
balonismo em aquidauana,Corresp. de frase,Ativado,Ativado,Ativado,"R$ 30,24",23,"33,33%"
balonismo em Aquidauana,Corresp. de frase,Removido,Ativado,Ativado,"R$ 29,88",19,"55,88%"
balao em aquidauana,Corresp. de frase,Ativado,Ativado,Ativado,"R$ 25,03",24,"15,69%"
vinícola terroir pantanal,Corresp. de frase,Ativado,Ativado,Ativado,"R$ 20,60",11,"11,83%"
turismo em aquidauana,Corresp. de frase,Ativado,Ativado,Ativado,"R$ 19,94",23,"12,37%"
pantanal mato grosso do sul turismo,Corresp. de frase,Ativado,Ativado,Ativado,"R$ 15,52",14,"4,88%"
passeio aquidauana,Corresp. de frase,Ativado,Ativado,Ativado,"R$ 15,29",13,"12,75%"
pantanal balonismo,Corresp. de frase,Ativado,Ativado,Ativado,"R$ 12,08",38,"27,74%"
o que fazer em aquidauana ms,Corresp. de frase,Ativado,Ativado,Ativado,"R$ 11,08",8,"10,00%"
passeio para o pantanal saindo de campo grande,Corresp. de frase,Ativado,Ativado,Ativado,"R$ 3,70",3,"6,98%"
o que fazer em aquidauana,Corresp. de frase,Ativado,Ativado,Ativado,"R$ 3,05",3,"5,26%"
o que fazer no pantanal mato grosso do sul,Corresp. de frase,Ativado,Ativado,Ativado,"R$ 2,31",2,"4,35%"
passeios em aquidauana,Corresp. de frase,Ativado,Ativado,Ativado,"R$ 2,05",4,"5,71%"
aquidauana o que fazer,Corresp. de frase,Ativado,Ativado,Ativado,"R$ 1,26",2,"16,67%"
atrações em aquidauana,Corresp. de frase,Ativado,Ativado,Ativado,"R$ 0,54",1,"14,29%"
voo de balão mato grosso do sul,Corresp. de frase,Ativado,Ativado,Ativado,"R$ 0,00",0,"0,00%"
o que fazer em bonito ms,Corresp. de frase,Ativado,Ativado,Ativado,"R$ 0,00",0,"0,00%"
balonismo Pantanal Mato Grosso,Corresp. de frase,Ativado,Ativado,Ativado,"R$ 0,00",0,"0,00%"
passeio de balão Pantanal,Corresp. de frase,Ativado,Ativado,Ativado,"R$ 0,00",0,"0,00%"
experiência de balonismo MS,Corresp. de frase,Ativado,Ativado,Ativado,"R$ 0,00",0,"0,00%"
voo de balão em aquidauana,Corresp. de frase,Ativado,Ativado,Ativado,"R$ 0,00",0,"0,00%"
voo cênico no pantanal,Corresp. de frase,Ativado,Ativado,Ativado,"R$ 0,00",0,"0,00%"
passeio de balão pantanal ms,Corresp. de frase,Ativado,Ativado,Ativado,"R$ 0,00",0,"0,00%"
passeio em camisão,Corresp. de frase,Ativado,Ativado,Ativado,"R$ 0,00",0,"0,00%"
voo de balão camisão,Corresp. de frase,Ativado,Ativado,Ativado,"R$ 0,00",0,"0,00%"
restaurante pira aquidauana,Corresp. de frase,Ativado,Ativado,Ativado,"R$ 0,00",0,"0,00%"
passeio de balao em bonito ms,Corresp. de frase,Ativado,Ativado,Ativado,"R$ 0,00",0,"0,00%"
passeio com saída de bonito ms,Corresp. de frase,Ativado,Ativado,Ativado,"R$ 0,00",0,"0,00%"
voar de balão no pantanal,Corresp. de frase,Ativado,Ativado,Ativado,"R$ 0,00",0,"0,00%"
passeio de balao em camisao ms,Corresp. de frase,Ativado,Ativado,Ativado,"R$ 0,00",0,"0,00%"
passeio de balão em bonito ms,Corresp. de frase,Ativado,Ativado,Ativado,"R$ 0,00",0,"0,00%"
voo de balão no pantanal,Corresp. de frase,Ativado,Ativado,Ativado,"R$ 0,00",0,"0,00%"
pantanal balonismo aquidauana,Corresp. de frase,Ativado,Ativado,Ativado,"R$ 0,00",0,"0,00%"
passeio de balão em ms,Corresp. de frase,Ativado,Ativado,Ativado,"R$ 0,00",0,"0,00%"
voo de balão ao amanhecer,Corresp. de frase,Ativado,Ativado,Ativado,"R$ 0,00",0,"0,00%"
